"UNIT","UNIT_LABEL","ACL00","ACL00_LABEL","TIME","SEX","SEX_LABEL","DAYSWEEK","DAYSWEEK_LABEL","GEO","GEO_LABEL","Value"
"TIME_SP","Time spent (hh:mm)","TOTAL","Total","2000","T","Total","D1-7","All days of the week","BE","Belgium","24:00"
"TIME_SP","Time spent (hh:mm)","TOTAL","Total","2000","T","Total","D1-7","All days of the week","BG","Bulgaria","24:00"
"TIME_SP","Time spent (hh:mm)","TOTAL","Total","2000","T","Total","D1-7","All days of the week","DE","Germany (until 1990 former territory of the FRG)","24:00"
"TIME_SP","Time spent (hh:mm)","TOTAL","Total","2000","T","Total","D1-7","All days of the week","EE","Estonia","24:00"
"TIME_SP","Time spent (hh:mm)","TOTAL","Total","2000","T","Total","D1-7","All days of the week","EL","Greece",":"
"TIME_SP","Time spent (hh:mm)","TOTAL","Total","2000","T","Total","D1-7","All days of the week","ES","Spain","24:00"
"TIME_SP","Time spent (hh:mm)","TOTAL","Total","2000","T","Total","D1-7","All days of the week","FR","France","24:00"
"TIME_SP","Time spent (hh:mm)","TOTAL","Total","2000","T","Total","D1-7","All days of the week","IT","Italy","24:00"
"TIME_SP","Time spent (hh:mm)","TOTAL","Total","2000","T","Total","D1-7","All days of the week","LV","Latvia","24:00"
"TIME_SP","Time spent (hh:mm)","TOTAL","Total","2000","T","Total","D1-7","All days of the week","LT","Lithuania","24:00"
"TIME_SP","Time spent (hh:mm)","TOTAL","Total","2000","T","Total","D1-7","All days of the week","LU","Luxembourg",":"
"TIME_SP","Time spent (hh:mm)","TOTAL","Total","2000","T","Total","D1-7","All days of the week","HU","Hungary",":"
"TIME_SP","Time spent (hh:mm)","TOTAL","Total","2000","T","Total","D1-7","All days of the week","NL","Netherlands",":"
"TIME_SP","Time spent (hh:mm)","TOTAL","Total","2000","T","Total","D1-7","All days of the week","AT","Austria",":"
"TIME_SP","Time spent (hh:mm)","TOTAL","Total","2000","T","Total","D1-7","All days of the week","PL","Poland","24:00"
"TIME_SP","Time spent (hh:mm)","TOTAL","Total","2000","T","Total","D1-7","All days of the week","RO","Romania",":"
"TIME_SP","Time spent (hh:mm)","TOTAL","Total","2000","T","Total","D1-7","All days of the week","SI","Slovenia","24:00"
"TIME_SP","Time spent (hh:mm)","TOTAL","Total","2000","T","Total","D1-7","All days of the week","FI","Finland","24:00"
"TIME_SP","Time spent (hh:mm)","TOTAL","Total","2000","T","Total","D1-7","All days of the week","UK","United Kingdom","24:00"
"TIME_SP","Time spent (hh:mm)","TOTAL","Total","2000","T","Total","D1-7","All days of the week","NO","Norway","24:00"
"TIME_SP","Time spent (hh:mm)","TOTAL","Total","2000","T","Total","D1-7","All days of the week","RS","Serbia",":"
"TIME_SP","Time spent (hh:mm)","TOTAL","Total","2000","T","Total","D1-5","Monday to Friday","BE","Belgium","24:00"
"TIME_SP","Time spent (hh:mm)","TOTAL","Total","2000","T","Total","D1-5","Monday to Friday","BG","Bulgaria","24:00"
"TIME_SP","Time spent (hh:mm)","TOTAL","Total","2000","T","Total","D1-5","Monday to Friday","DE","Germany (until 1990 former territory of the FRG)","24:00"
"TIME_SP","Time spent (hh:mm)","TOTAL","Total","2000","T","Total","D1-5","Monday to Friday","EE","Estonia","24:00"
"TIME_SP","Time spent (hh:mm)","TOTAL","Total","2000","T","Total","D1-5","Monday to Friday","EL","Greece",":"
"TIME_SP","Time spent (hh:mm)","TOTAL","Total","2000","T","Total","D1-5","Monday to Friday","ES","Spain","24:00"
"TIME_SP","Time spent (hh:mm)","TOTAL","Total","2000","T","Total","D1-5","Monday to Friday","FR","France","24:00"
"TIME_SP","Time spent (hh:mm)","TOTAL","Total","2000","T","Total","D1-5","Monday to Friday","IT","Italy","24:00"
"TIME_SP","Time spent (hh:mm)","TOTAL","Total","2000","T","Total","D1-5","Monday to Friday","LV","Latvia","24:00"
"TIME_SP","Time spent (hh:mm)","TOTAL","Total","2000","T","Total","D1-5","Monday to Friday","LT","Lithuania","24:00"
"TIME_SP","Time spent (hh:mm)","TOTAL","Total","2000","T","Total","D1-5","Monday to Friday","LU","Luxembourg",":"
"TIME_SP","Time spent (hh:mm)","TOTAL","Total","2000","T","Total","D1-5","Monday to Friday","HU","Hungary",":"
"TIME_SP","Time spent (hh:mm)","TOTAL","Total","2000","T","Total","D1-5","Monday to Friday","NL","Netherlands",":"
"TIME_SP","Time spent (hh:mm)","TOTAL","Total","2000","T","Total","D1-5","Monday to Friday","AT","Austria",":"
"TIME_SP","Time spent (hh:mm)","TOTAL","Total","2000","T","Total","D1-5","Monday to Friday","PL","Poland","24:00"
"TIME_SP","Time spent (hh:mm)","TOTAL","Total","2000","T","Total","D1-5","Monday to Friday","RO","Romania",":"
"TIME_SP","Time spent (hh:mm)","TOTAL","Total","2000","T","Total","D1-5","Monday to Friday","SI","Slovenia","24:00"
"TIME_SP","Time spent (hh:mm)","TOTAL","Total","2000","T","Total","D1-5","Monday to Friday","FI","Finland","24:00"
"TIME_SP","Time spent (hh:mm)","TOTAL","Total","2000","T","Total","D1-5","Monday to Friday","UK","United Kingdom","24:00"
"TIME_SP","Time spent (hh:mm)","TOTAL","Total","2000","T","Total","D1-5","Monday to Friday","NO","Norway","24:00"
