,basic_needs,pro_study,household_family,total_constraint,leisure_media,leisure_sports_outdoors,leisure_social_meetings,total_leisure
Belgium,1301.0,431.0,530.0,2262.0,211.0,16.0,365.0,592.0
Bulgaria,1351.0,484.0,591.0,2426.0,162.0,14.0,273.0,449.0
Germany (until 1990 former territory of the FRG),1271.0,431.0,561.0,2263.0,177.0,23.0,405.0,605.0
Estonia,1223.0,562.0,595.0,2380.0,184.0,14.0,292.0,490.0
Greece,,,,0.0,,,,0.0
Spain,1291.0,447.0,638.0,2376.0,155.0,34.0,309.0,498.0
France,1380.0,459.0,,1839.0,,17.0,,17.0
Italy,1311.0,401.0,683.0,2395.0,143.0,20.0,313.0,476.0
Latvia,1260.0,666.0,493.0,2419.0,163.0,16.0,276.0,455.0
Lithuania,1275.0,631.0,551.0,2457.0,154.0,11.0,249.0,414.0
Luxembourg,,,,0.0,,,,0.0
Hungary,,,,0.0,,,,0.0
Netherlands,,,,0.0,,,,0.0
Austria,,,,0.0,,,,0.0
Poland,1292.0,449.0,611.0,2352.0,164.0,13.0,339.0,516.0
Romania,,,,0.0,,,,0.0
Slovenia,1233.0,538.0,601.0,2372.0,161.0,21.0,321.0,503.0
Finland,1239.0,521.0,,1760.0,194.0,25.0,379.0,598.0
United Kingdom,1252.0,496.0,539.0,2287.0,187.0,10.0,377.0,574.0
Norway,1212.0,535.0,,1747.0,,22.0,463.0,485.0
Serbia,,,,0.0,,,,0.0
