,basic_needs,pro_study,household_family,total_constraint,leisure_media,leisure_sports_outdoors,leisure_social_meetings,total_leisure
Belgium,1241.0,629.0,313.0,2183.0,245.0,22.0,403.0,670.0
Bulgaria,1389.0,621.0,313.0,2323.0,192.0,20.0,338.0,550.0
Germany (until 1990 former territory of the FRG),1230.0,700.0,314.0,2244.0,195.0,23.0,407.0,625.0
Estonia,1236.0,773.0,310.0,2319.0,214.0,18.0,320.0,552.0
Greece,,,,0.0,,,,0.0
Spain,1290.0,815.0,196.0,2301.0,174.0,45.0,355.0,574.0
France,1359.0,714.0,,2073.0,,26.0,,26.0
Italy,1312.0,784.0,199.0,2295.0,171.0,32.0,368.0,571.0
Latvia,1246.0,906.0,219.0,2371.0,186.0,23.0,293.0,502.0
Lithuania,1267.0,825.0,268.0,2360.0,196.0,16.0,301.0,513.0
Luxembourg,,,,0.0,,,,0.0
Hungary,,,,0.0,,,,0.0
Netherlands,,,,0.0,,,,0.0
Austria,,,,0.0,,,,0.0
Poland,1250.0,717.0,318.0,2285.0,198.0,20.0,364.0,582.0
Romania,,,,0.0,,,,0.0
Slovenia,1230.0,708.0,335.0,2273.0,199.0,28.0,376.0,603.0
Finland,1196.0,710.0,,1906.0,225.0,30.0,401.0,656.0
United Kingdom,1206.0,781.0,273.0,2260.0,214.0,15.0,373.0,602.0
Norway,1168.0,782.0,,1950.0,,26.0,434.0,460.0
Serbia,,,,0.0,,,,0.0
