country,country_code,basic_needs,pro_study,household_family,total_constraint,leisure_media,leisure_sports_outdoors,leisure_social_meetings,total_leisure,GHI
Belgium,BE,1255.0,626.0,296.0,2177.0,247.0,23.0,426.0,696.0,0.319706
Bulgaria,BG,,,,0.0,,,,0.0,
Germany (until 1990 former territory of the FRG),DE,1234.0,709.0,288.0,2231.0,219.0,24.0,396.0,639.0,0.286419
Estonia,EE,1276.0,668.0,290.0,2234.0,247.0,25.0,363.0,635.0,0.284244
Greece,EL,1368.0,606.0,194.0,2168.0,245.0,27.0,435.0,707.0,0.326107
Spain,ES,1309.0,704.0,260.0,2273.0,200.0,45.0,355.0,600.0,0.263968
France,FR,1314.0,703.0,285.0,2302.0,196.0,25.0,333.0,554.0,0.24066
Italy,IT,1301.0,812.0,202.0,2315.0,175.0,29.0,355.0,559.0,0.241469
Latvia,LV,,,,0.0,,,,0.0,
Lithuania,LT,,,,0.0,,,,0.0,
Luxembourg,LU,1304.0,814.0,217.0,2335.0,185.0,35.0,317.0,537.0,0.229979
Hungary,HU,1334.0,654.0,303.0,2291.0,226.0,12.0,343.0,581.0,0.253601
Netherlands,NL,1253.0,734.0,280.0,2267.0,204.0,22.0,375.0,601.0,0.265108
Austria,AT,1193.0,858.0,276.0,2327.0,164.0,30.0,352.0,546.0,0.234637
Poland,PL,1242.0,775.0,311.0,2328.0,201.0,19.0,331.0,551.0,0.236684
Romania,RO,1356.0,764.0,261.0,2381.0,196.0,7.0,283.0,486.0,0.204116
Slovenia,SI,,,,0.0,,,,0.0,
Finland,FI,1210.0,638.0,309.0,2157.0,246.0,34.0,426.0,706.0,0.327306
United Kingdom,UK,1214.0,750.0,259.0,2223.0,214.0,20.0,361.0,595.0,0.267656
Norway,NO,1174.0,737.0,330.0,2241.0,196.0,25.0,410.0,631.0,0.281571
Serbia,RS,1280.0,656.0,265.0,2201.0,238.0,25.0,414.0,677.0,0.307587
