country,basic_needs,pro_study,household_family,total_constraint,leisure_media,leisure_sports_outdoors,leisure_social_meetings,total_leisure
Belgium,1289.0,534.0,400.0,2223.0,227.0,18.0,407.0,652.0
Bulgaria,,,,0.0,,,,0.0
Germany (until 1990 former territory of the FRG),1260.0,597.0,390.0,2247.0,204.0,24.0,396.0,624.0
Estonia,1280.0,624.0,391.0,2295.0,217.0,24.0,338.0,579.0
Greece,1356.0,494.0,377.0,2227.0,227.0,23.0,400.0,650.0
Spain,1302.0,594.0,426.0,2322.0,184.0,39.0,331.0,554.0
France,1332.0,596.0,392.0,2320.0,184.0,21.0,325.0,530.0
Italy,1306.0,621.0,429.0,2356.0,163.0,25.0,332.0,520.0
Latvia,,,,0.0,,,,0.0
Lithuania,,,,0.0,,,,0.0
Luxembourg,1319.0,698.0,351.0,2368.0,172.0,29.0,302.0,503.0
Hungary,1332.0,552.0,439.0,2323.0,211.0,9.0,329.0,549.0
Netherlands,1296.0,599.0,372.0,2267.0,193.0,20.0,383.0,596.0
Austria,1217.0,694.0,423.0,2334.0,159.0,27.0,354.0,540.0
Poland,1270.0,621.0,455.0,2346.0,187.0,18.0,328.0,533.0
Romania,1350.0,634.0,445.0,2429.0,177.0,6.0,256.0,439.0
Slovenia,,,,0.0,,,,0.0
Finland,1238.0,578.0,392.0,2208.0,220.0,31.0,407.0,658.0
United Kingdom,1232.0,648.0,370.0,2250.0,198.0,17.0,357.0,572.0
Norway,1200.0,648.0,386.0,2234.0,188.0,26.0,422.0,636.0
Serbia,1290.0,538.0,439.0,2267.0,217.0,21.0,377.0,615.0
