country,country_code,basic_needs,pro_study,household_family,total_constraint,leisure_media,leisure_sports_outdoors,leisure_social_meetings,total_leisure,GHI
Belgium,BE,1360.0,370.0,486.0,2216.0,216.0,16.0,423.0,655.0,0.295578
Bulgaria,BG,,,,0.0,,,,0.0,
Germany,DE,1332.0,380.0,480.0,2192.0,211.0,27.0,444.0,682.0,0.311131
Estonia,EE,1318.0,478.0,504.0,2300.0,199.0,23.0,348.0,570.0,0.247826
Greece,EL,1374.0,331.0,539.0,2244.0,210.0,19.0,403.0,632.0,0.28164
Spain,ES,1344.0,398.0,574.0,2316.0,178.0,35.0,346.0,559.0,0.241364
France,FR,1387.0,412.0,495.0,2294.0,180.0,21.0,348.0,549.0,0.23932
Italy,IT,1341.0,373.0,640.0,2354.0,155.0,25.0,342.0,522.0,0.22175
Latvia,LV,,,,0.0,,,,0.0,
Lithuania,LT,,,,0.0,,,,0.0,
Luxembourg,LU,1388.0,467.0,489.0,2344.0,169.0,29.0,329.0,527.0,0.224829
Hungary,HU,1360.0,370.0,584.0,2314.0,207.0,9.0,346.0,562.0,0.242869
Netherlands,NL,1378.0,380.0,452.0,2210.0,197.0,19.0,436.0,652.0,0.295023
Austria,AT,1281.0,451.0,553.0,2285.0,164.0,28.0,399.0,591.0,0.258643
Poland,PL,1345.0,385.0,572.0,2302.0,179.0,20.0,376.0,575.0,0.249783
Romania,RO,1389.0,404.0,609.0,2402.0,171.0,8.0,287.0,466.0,0.194005
Slovenia,SI,,,,0.0,,,,0.0,
Finland,FI,1300.0,423.0,476.0,2199.0,209.0,31.0,428.0,668.0,0.303774
United Kingdom,UK,1284.0,462.0,488.0,2234.0,192.0,15.0,388.0,595.0,0.266338
Norway,NO,1262.0,445.0,460.0,2167.0,194.0,29.0,478.0,701.0,0.323489
Serbia,RS,1322.0,367.0,601.0,2290.0,200.0,19.0,370.0,589.0,0.257205
